gestureClass,dBetweenThumbAndPC,dBetweenIndexAndPC,dBetweenMiddleAndPC,dBetweenRingAndPC,dBetweenPinkyAndPC
5,0.192463,0.472690,0.496628,0.468291,0.223771
5,0.192035,0.472571,0.496688,0.469076,0.224763
5,0.191848,0.472504,0.496719,0.469508,0.225225
5,0.191718,0.472493,0.496811,0.469912,0.225532
5,0.191672,0.472514,0.496871,0.470167,0.225597
5,0.191628,0.472590,0.496890,0.470380,0.225792
5,0.191628,0.472702,0.496914,0.470501,0.226145
5,0.191698,0.472802,0.496937,0.470556,0.226389
5,0.191761,0.472885,0.496961,0.470680,0.226541
5,0.191801,0.473003,0.496987,0.470780,0.226818
5,0.191843,0.473151,0.497008,0.470826,0.226913
5,0.191884,0.473230,0.497033,0.470873,0.227036
5,0.191931,0.473277,0.497057,0.470882,0.227181
5,0.191997,0.473316,0.497093,0.470912,0.227236
5,0.192076,0.473339,0.497132,0.470953,0.227250
5,0.192112,0.473359,0.497161,0.470990,0.227470
5,0.192176,0.473354,0.497197,0.471037,0.227597
5,0.192237,0.473340,0.497225,0.471105,0.227703
5,0.192288,0.473339,0.497280,0.471178,0.227747
5,0.192341,0.473352,0.497368,0.471285,0.227877
5,0.192375,0.473382,0.497407,0.471304,0.228000
5,0.192363,0.473411,0.497460,0.471297,0.228050
5,0.192343,0.473490,0.497498,0.471299,0.228053
5,0.192333,0.473558,0.497547,0.471319,0.228038
5,0.192347,0.473626,0.497551,0.471292,0.228130
5,0.192414,0.473679,0.497542,0.471267,0.228235
5,0.192510,0.473728,0.497507,0.471263,0.228515
5,0.192537,0.473840,0.497500,0.471321,0.228551
5,0.192547,0.473999,0.497524,0.471351,0.228598
5,0.192573,0.474098,0.497527,0.471341,0.228585
5,0.192603,0.474192,0.497590,0.471358,0.228597
5,0.192619,0.474253,0.497626,0.471345,0.228633
5,0.192631,0.474317,0.497678,0.471392,0.228700
5,0.192670,0.474386,0.497703,0.471438,0.228773
5,0.192712,0.474454,0.497744,0.471456,0.228816
5,0.192772,0.474460,0.497793,0.471418,0.228891
5,0.192822,0.474470,0.497816,0.471409,0.229029
5,0.192843,0.474515,0.497859,0.471428,0.229011
5,0.192861,0.474574,0.497904,0.471390,0.229047
5,0.192915,0.474587,0.497930,0.471343,0.229065
5,0.192975,0.474583,0.497950,0.471287,0.229110
5,0.192999,0.474578,0.497986,0.471186,0.229154
5,0.192999,0.474578,0.497986,0.471186,0.229154
5,0.192968,0.474566,0.498004,0.471165,0.229196
5,0.192887,0.474527,0.498033,0.471107,0.229136
5,0.192859,0.474471,0.498038,0.471051,0.229173
5,0.192819,0.474419,0.497998,0.470952,0.229180
5,0.192818,0.474404,0.497951,0.470769,0.229132
5,0.192843,0.474393,0.497917,0.470650,0.229020
5,0.192833,0.474395,0.497875,0.470523,0.228996
5,0.192787,0.474421,0.497858,0.470455,0.228893
5,0.192725,0.474446,0.497831,0.470402,0.228833
5,0.192689,0.474468,0.497811,0.470344,0.228811
5,0.192661,0.474480,0.497799,0.470320,0.228776
5,0.192656,0.474494,0.497814,0.470320,0.228684
5,0.192646,0.474520,0.497817,0.470317,0.228554
5,0.192641,0.474554,0.497899,0.470447,0.228358
5,0.192678,0.474600,0.498052,0.470636,0.228195
5,0.192738,0.474622,0.498169,0.470815,0.227910
5,0.192743,0.474648,0.498297,0.470952,0.227796
5,0.192756,0.474732,0.498526,0.471087,0.227641
5,0.192756,0.474732,0.498526,0.471087,0.227641
5,0.192756,0.474750,0.498562,0.471098,0.227561
5,0.192681,0.474789,0.498562,0.471062,0.227454
5,0.192573,0.474839,0.498535,0.470980,0.227396
5,0.192477,0.474861,0.498500,0.470903,0.227404
5,0.192456,0.474867,0.498492,0.470910,0.227369
5,0.192458,0.474878,0.498478,0.470937,0.227600
5,0.192487,0.474932,0.498446,0.470902,0.227840
5,0.192508,0.474956,0.498407,0.470874,0.228016
5,0.192515,0.474960,0.498373,0.470832,0.228097
5,0.192524,0.474985,0.498341,0.470805,0.228209
5,0.192527,0.475013,0.498330,0.470794,0.228296
5,0.192501,0.475021,0.498286,0.470752,0.228405
5,0.192498,0.475008,0.498218,0.470730,0.228459
5,0.192545,0.474978,0.498168,0.470678,0.228514
5,0.192584,0.474957,0.498140,0.470635,0.228501
5,0.192620,0.474962,0.498146,0.470638,0.228509
5,0.192627,0.474939,0.498132,0.470624,0.228525
5,0.192685,0.474914,0.498141,0.470652,0.228528
5,0.192745,0.474907,0.498144,0.470666,0.228426
5,0.192761,0.474892,0.498154,0.470677,0.228324
5,0.192850,0.474858,0.498132,0.470652,0.228339
5,0.192984,0.474744,0.498028,0.470598,0.228399
5,0.193019,0.474639,0.497935,0.470576,0.228313
5,0.193118,0.474554,0.497877,0.470568,0.228106
5,0.193178,0.474535,0.497854,0.470540,0.227949
5,0.193257,0.474514,0.497841,0.470529,0.227792
5,0.193341,0.474469,0.497816,0.470507,0.227730
5,0.193358,0.474418,0.497777,0.470443,0.227734
5,0.193393,0.474329,0.497687,0.470272,0.227781
5,0.193422,0.474308,0.497629,0.470158,0.227902
5,0.193437,0.474300,0.497604,0.470092,0.228027
5,0.193446,0.474293,0.497592,0.470037,0.228138
5,0.193466,0.474274,0.497518,0.469954,0.228217
5,0.193472,0.474237,0.497470,0.469915,0.228242
5,0.193422,0.474202,0.497440,0.469901,0.228210
5,0.193417,0.474174,0.497421,0.469797,0.228302
5,0.193431,0.474164,0.497409,0.469715,0.228339
5,0.193443,0.474161,0.497401,0.469702,0.228335
5,0.193447,0.474148,0.497399,0.469653,0.228294
5,0.193437,0.474127,0.497384,0.469610,0.228296
5,0.193408,0.474126,0.497360,0.469552,0.228351
5,0.193422,0.474127,0.497292,0.469434,0.228459
5,0.193462,0.474127,0.497223,0.469337,0.228499
5,0.193420,0.474138,0.497175,0.469276,0.228578
5,0.193390,0.474207,0.497139,0.469243,0.228758
5,0.193345,0.474281,0.497109,0.469216,0.228887
5,0.193274,0.474336,0.497117,0.469262,0.229037
5,0.193233,0.474385,0.497114,0.469294,0.229091
5,0.193184,0.474409,0.497098,0.469322,0.229183
5,0.193092,0.474443,0.497094,0.469377,0.229263
5,0.192985,0.474440,0.497077,0.469412,0.229301
5,0.192944,0.474433,0.497054,0.469411,0.229286
5,0.192885,0.474435,0.497051,0.469421,0.229268
5,0.192857,0.474447,0.497102,0.469442,0.229259
5,0.192792,0.474444,0.497119,0.469445,0.229309
5,0.192768,0.474432,0.497139,0.469444,0.229362
5,0.192742,0.474444,0.497142,0.469418,0.229385
5,0.192695,0.474459,0.497139,0.469395,0.229432
5,0.192656,0.474502,0.497155,0.469381,0.229431
5,0.192642,0.474579,0.497198,0.469379,0.229428
5,0.192600,0.474626,0.497255,0.469393,0.229567
5,0.192640,0.474642,0.497355,0.469411,0.229628
5,0.192676,0.474623,0.497378,0.469395,0.229705
5,0.192704,0.474633,0.497435,0.469416,0.229756
5,0.192720,0.474639,0.497499,0.469443,0.229881
5,0.192765,0.474698,0.497564,0.469284,0.229931
5,0.192835,0.474770,0.497641,0.469260,0.229954
5,0.192790,0.474832,0.497730,0.469355,0.229771
5,0.192788,0.474869,0.497749,0.469414,0.229625
5,0.192819,0.474916,0.497728,0.469409,0.229563
5,0.192869,0.474948,0.497704,0.469418,0.229461
5,0.192914,0.474946,0.497661,0.469375,0.229495
5,0.192942,0.474921,0.497611,0.469332,0.229497
5,0.192919,0.474933,0.497603,0.469363,0.229564
5,0.192932,0.474950,0.497588,0.469424,0.229567
5,0.192968,0.474956,0.497577,0.469450,0.229495
5,0.192959,0.474979,0.497625,0.469552,0.229358
5,0.193013,0.475002,0.497663,0.469619,0.229122
5,0.193073,0.474990,0.497682,0.469702,0.228990
5,0.193116,0.474974,0.497720,0.469786,0.228907
5,0.193168,0.474960,0.497757,0.469842,0.228843
5,0.193236,0.474944,0.497804,0.469881,0.228679
5,0.193403,0.474923,0.497853,0.469955,0.228619
5,0.193529,0.474915,0.497907,0.470072,0.228604
5,0.193596,0.474939,0.497946,0.470118,0.228592
5,0.193674,0.474942,0.497961,0.470101,0.228572
5,0.193768,0.474950,0.497994,0.470130,0.228559
5,0.193842,0.474962,0.497991,0.470143,0.228482
5,0.193875,0.474963,0.497976,0.470151,0.228324
5,0.193854,0.474955,0.497951,0.470156,0.228189
5,0.193853,0.474896,0.497923,0.470130,0.228062
5,0.193845,0.474890,0.497874,0.470104,0.227866
5,0.193845,0.474880,0.497817,0.469967,0.227719
5,0.193807,0.474878,0.497754,0.469855,0.227610
5,0.193776,0.474885,0.497719,0.469749,0.227551
5,0.193733,0.474910,0.497709,0.469731,0.227515
5,0.193714,0.474929,0.497706,0.469704,0.227520
5,0.193691,0.474924,0.497696,0.469684,0.227536
5,0.193679,0.474907,0.497671,0.469620,0.227673
5,0.193676,0.474921,0.497658,0.469544,0.227722
5,0.193669,0.474914,0.497645,0.469483,0.227748
5,0.193641,0.474923,0.497637,0.469363,0.227932
5,0.193651,0.474952,0.497624,0.469278,0.228055
5,0.193645,0.474956,0.497563,0.469125,0.228324
5,0.193638,0.474954,0.497524,0.469083,0.228506
5,0.193631,0.474950,0.497479,0.469061,0.228607
5,0.193636,0.474949,0.497450,0.469075,0.228693
5,0.193626,0.474931,0.497404,0.469071,0.228717
5,0.193603,0.474919,0.497384,0.469054,0.228820
5,0.193607,0.474928,0.497391,0.469059,0.228953
5,0.193583,0.474960,0.497398,0.469057,0.229192
5,0.193572,0.474968,0.497411,0.469086,0.229140
5,0.193567,0.474989,0.497443,0.469141,0.228986
5,0.193570,0.474995,0.497463,0.469168,0.228868
5,0.193591,0.475012,0.497476,0.469190,0.228863
5,0.193598,0.475036,0.497500,0.469234,0.228908
5,0.193623,0.475041,0.497501,0.469277,0.228857
5,0.193678,0.475042,0.497481,0.469260,0.228858
5,0.193754,0.475031,0.497478,0.469270,0.228859
5,0.193835,0.475023,0.497486,0.469284,0.228824
